Date,Open,High,Low,Close,Adj Close,Volume
6/28/2018,7438.109863,7526.069824,7419.560059,7503.680176,7503.680176,2195400000
6/29/2018,7544.129883,7573.589844,7502.950195,7510.299805,7510.299805,2192010000
7/2/2018,7451.899902,7568.100098,7443.100098,7567.689941,7567.689941,1767910000
7/3/2018,7593.629883,7594.330078,7498.5,7502.669922,7502.669922,1179310000
7/5/2018,7550.660156,7589.189941,7511.430176,7586.430176,7586.430176,1745030000
7/6/2018,7595.930176,7695.810059,7588.649902,7688.390137,7688.390137,1704580000
7/9/2018,7731.740234,7757.279785,7702.060059,7756.200195,7756.200195,1837330000
7/10/2018,7770.629883,7777.47998,7731.97998,7759.200195,7759.200195,1725210000
7/11/2018,7698.509766,7748.160156,7696.580078,7716.609863,7716.609863,1761420000
7/12/2018,7752.709961,7825.669922,7746.759766,7823.919922,7823.919922,1926110000
7/13/2018,7827.620117,7843.52002,7803.339844,7825.97998,7825.97998,1714140000
7/16/2018,7831.740234,7838.819824,7791.97998,7805.720215,7805.720215,1730190000
7/17/2018,7751.970215,7867.149902,7749.609863,7855.120117,7855.120117,1740680000
7/18/2018,7859.430176,7863.77002,7822.830078,7854.439941,7854.439941,1857670000
7/19/2018,7829.799805,7849.850098,7811.149902,7825.299805,7825.299805,1853030000
7/20/2018,7843.080078,7860.25,7815.859863,7820.200195,7820.200195,1786250000
7/23/2018,7806.930176,7846.759766,7776.549805,7841.870117,7841.870117,1654290000
7/24/2018,7914.350098,7928.790039,7814.330078,7840.77002,7840.77002,2014850000
7/25/2018,7839.089844,7933.310059,7838.759766,7932.240234,7932.240234,1902790000
7/26/2018,7848.040039,7881.299805,7834.080078,7852.180176,7852.180176,2263070000
7/27/2018,7889.75,7889.75,7698.959961,7737.419922,7737.419922,2176170000
7/30/2018,7735.27002,7740.259766,7604.240234,7630,7630,2143410000
7/31/2018,7654.589844,7709.490234,7614.839844,7671.790039,7671.790039,2195050000
8/1/2018,7701.819824,7732.680176,7670.709961,7707.290039,7707.290039,2223550000
8/2/2018,7659.52002,7808.850098,7659.52002,7802.689941,7802.689941,2081300000
8/3/2018,7819.22998,7824.060059,7783.299805,7812.009766,7812.009766,2018700000
8/6/2018,7809.540039,7859.680176,7801.879883,7859.680176,7859.680176,2238170000
8/7/2018,7878.620117,7898.200195,7868.649902,7883.660156,7883.660156,2197590000
8/8/2018,7880,7901.689941,7864.459961,7888.330078,7888.330078,2087850000
8/9/2018,7886.52002,7923.350098,7881.060059,7891.779785,7891.779785,2032950000
8/10/2018,7834.709961,7866.189941,7818.370117,7839.109863,7839.109863,2095180000
8/13/2018,7848,7888.660156,7814.27002,7819.709961,7819.709961,1914240000
8/14/2018,7847.879883,7878.22998,7815.5,7870.890137,7870.890137,1917360000
8/15/2018,7810.02002,7832.660156,7732.689941,7774.120117,7774.120117,2286960000
8/16/2018,7826.950195,7849.669922,7795.740234,7806.52002,7806.52002,1979540000
8/17/2018,7786.640137,7830.779785,7752.680176,7816.330078,7816.330078,1843150000
8/20/2018,7834.370117,7837.140137,7787.899902,7821.009766,7821.009766,1698970000
8/21/2018,7840.089844,7897.680176,7836.790039,7859.169922,7859.169922,1766630000
8/22/2018,7844.040039,7897.629883,7840.839844,7889.100098,7889.100098,1660460000
8/23/2018,7886.470215,7926.319824,7866.529785,7878.459961,7878.459961,1879890000
8/24/2018,7907.810059,7949.709961,7907.100098,7945.97998,7945.97998,1886600000
8/27/2018,7989.640137,8024.939941,7976.600098,8017.899902,8017.899902,2319130000
8/28/2018,8039.009766,8046.310059,8009.589844,8030.040039,8030.040039,1961300000
8/29/2018,8044.339844,8113.560059,8042.100098,8109.689941,8109.689941,1897000000
8/30/2018,8094.200195,8133.299805,8069.569824,8088.359863,8088.359863,2014450000
8/31/2018,8079.310059,8119.819824,8079.310059,8109.540039,8109.540039,1899910000
9/4/2018,8087.950195,8104.069824,8042.140137,8091.25,8091.25,2229520000
9/5/2018,8073.529785,8077.839844,7962.350098,7995.169922,7995.169922,2596780000
9/6/2018,7998.27002,8001.970215,7885.490234,7922.72998,7922.72998,2368680000
9/7/2018,7878.790039,7962.529785,7873.930176,7902.540039,7902.540039,2146380000
9/10/2018,7939.569824,7945.029785,7890.390137,7924.160156,7924.160156,2041450000
9/11/2018,7894.870117,7986.319824,7880.919922,7972.470215,7972.470215,2336600000
9/12/2018,7958.870117,7965.390137,7884.049805,7954.22998,7954.22998,2341850000
9/13/2018,7999.930176,8037.509766,7989.850098,8013.709961,8013.709961,2318720000
9/14/2018,8026.160156,8040.830078,7979.779785,8010.040039,8010.040039,2033720000
9/17/2018,7992.209961,8002.779785,7890.069824,7895.790039,7895.790039,2284140000
9/18/2018,7903.569824,7986.100098,7901.009766,7956.109863,7956.109863,2317990000
9/19/2018,7962.549805,7976.120117,7917.72998,7950.040039,7950.040039,2156730000
9/20/2018,7993.529785,8039.060059,7986.410156,8028.22998,8028.22998,2287150000
9/21/2018,8041.689941,8057.259766,7979.669922,7986.959961,7986.959961,3706820000
9/24/2018,7939.379883,7997.899902,7912.470215,7993.25,7993.25,2416380000
9/25/2018,8001.589844,8014.120117,7979.290039,8007.470215,8007.470215,2288140000
9/26/2018,8011.680176,8067.029785,7982.759766,7990.370117,7990.370117,2297030000
9/27/2018,8021.220215,8071.560059,8017.910156,8041.970215,8041.970215,2053770000
9/28/2018,8024.5,8065.060059,8015.870117,8046.350098,8046.350098,2323940000
10/1/2018,8091.5,8107.379883,8019.77002,8037.299805,8037.299805,2283230000
10/2/2018,8024.470215,8054.149902,7983.990234,7999.549805,7999.549805,2391370000
10/3/2018,8034.649902,8053.930176,8012.029785,8025.089844,8025.089844,3057330000
10/4/2018,7993.330078,7997.169922,7833.160156,7879.509766,7879.509766,3284550000
10/5/2018,7874.759766,7902.669922,7715.970215,7788.450195,7788.450195,2672900000
10/8/2018,7747.100098,7797.319824,7654.839844,7735.950195,7735.950195,2239640000
10/9/2018,7728.509766,7799.75,7718.950195,7738.02002,7738.02002,2459040000
10/10/2018,7694.080078,7701.200195,7420.560059,7422.049805,7422.049805,3077330000
10/11/2018,7388.069824,7493.209961,7274.040039,7329.060059,7329.060059,3139290000
10/12/2018,7507.839844,7516.689941,7368.330078,7496.890137,7496.890137,2650290000
10/15/2018,7473.330078,7500.930176,7400.069824,7430.740234,7430.740234,2148850000
