Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,55.619999,57.119999,55.410000,55.439999,53.587044,43888500
2018-07-02,55.200001,56.380001,55.070000,56.320000,54.437630,21204900
2018-07-03,56.430000,56.630001,55.430000,55.560001,53.703026,12830400
2018-07-05,55.919998,56.080002,55.049999,55.240002,53.393730,16788600
2018-07-06,55.299999,56.130001,55.029999,55.889999,54.021999,12389100
2018-07-09,56.189999,56.970001,56.009998,56.770000,54.872589,16684000
2018-07-10,57.060001,57.080002,56.340000,56.619999,54.727604,15581400
2018-07-11,56.400002,56.750000,55.980000,56.070000,54.195980,15641400
2018-07-12,56.459999,56.480000,55.599998,56.029999,54.157322,18236100
2018-07-13,54.740002,55.790001,53.630001,55.360001,53.509712,34323400
2018-07-16,55.740002,57.230000,55.630001,56.990002,55.085236,25538700
2018-07-17,56.950001,57.029999,56.430000,56.560001,54.669609,21649000
2018-07-18,56.259998,56.820000,56.139999,56.570000,54.679272,19913900
2018-07-19,56.259998,56.880001,56.020000,56.330002,54.447300,22219400
2018-07-20,56.070000,56.660000,55.849998,56.410000,54.524620,17250400
2018-07-23,56.389999,58.090000,56.299999,58.000000,56.061478,24584100
2018-07-24,58.000000,58.689999,57.849998,58.349998,56.399780,27245000
2018-07-25,58.099998,58.500000,57.849998,58.230000,56.283791,15531100
2018-07-26,58.470001,58.730000,58.200001,58.310001,56.361118,14165300
2018-07-27,58.380001,58.900002,58.160000,58.630001,56.670425,17662900
2018-07-30,58.830002,59.270000,58.299999,58.490002,56.535103,22699900
2018-07-31,58.610001,58.709999,57.200001,57.290001,55.375210,21633800
2018-08-01,57.959999,58.279999,57.209999,57.650002,55.723179,19192700
2018-08-02,57.080002,58.450001,57.080002,58.290001,56.341785,13489100
2018-08-03,58.060001,58.930000,58.029999,58.830002,56.863735,13720400
2018-08-06,58.580002,59.029999,58.189999,58.889999,56.921734,13360500
2018-08-07,58.939999,59.160000,58.700001,58.820000,56.854069,13810900
2018-08-08,58.759998,59.500000,58.759998,59.189999,57.211704,13778600
2018-08-09,58.650002,58.900002,58.400002,58.439999,56.900135,15859500
2018-08-10,57.380001,58.419998,57.380001,58.049999,56.520412,16170100
2018-08-13,57.660000,58.110001,57.560001,57.610001,56.092007,19541100
2018-08-14,57.669998,58.259998,57.669998,58.070000,56.539886,14860400
2018-08-15,57.680000,58.250000,57.650002,57.990002,56.461994,17378400
2018-08-16,58.139999,58.810001,58.049999,58.660000,57.114342,19992500
2018-08-17,58.509998,59.040001,58.509998,58.860001,57.309071,13737600
2018-08-20,58.810001,59.209999,58.669998,59.029999,57.474590,11403400
2018-08-21,59.000000,59.529999,58.939999,58.959999,57.406437,17943500
2018-08-22,59.040001,59.500000,58.830002,59.169998,57.610901,20829600
2018-08-23,59.000000,59.049999,58.570000,58.619999,57.075390,19655600
2018-08-24,58.900002,58.919998,58.669998,58.689999,57.143547,14366600
2018-08-27,58.869999,59.480000,58.759998,59.099998,57.542744,19915200
2018-08-28,59.189999,59.330002,58.990002,59.070000,57.513538,19330200
2018-08-29,59.049999,59.180000,58.820000,58.959999,57.406437,14436600
2018-08-30,58.669998,59.080002,58.430000,58.459999,56.919613,14800900
2018-08-31,58.270000,58.540001,58.070000,58.480000,56.939083,16720200
2018-09-04,58.450001,58.950001,58.070000,58.799999,57.250648,19003700
2018-09-05,58.880001,59.200001,58.810001,58.950001,57.396702,22332300
2018-09-06,58.910000,59.160000,57.930000,57.930000,56.403576,20756900
2018-09-07,57.919998,58.070000,57.349998,57.400002,55.887539,21482400
2018-09-10,57.619999,57.840000,57.310001,57.459999,55.945957,15623000
2018-09-11,57.400002,57.560001,57.320000,57.380001,55.868065,22160300
2018-09-12,57.330002,57.389999,55.799999,55.939999,54.466011,23868800
2018-09-13,56.009998,56.250000,54.990002,55.000000,53.550777,26954800
2018-09-14,55.189999,55.560001,54.700001,54.730000,53.287895,20997600
2018-09-17,54.750000,54.759998,53.939999,54.310001,52.878963,21959500
2018-09-18,54.250000,54.700001,54.040001,54.500000,53.063953,22055200
2018-09-19,54.490002,55.450001,54.279999,55.220001,53.764984,17046200
2018-09-20,55.630001,55.810001,54.990002,55.549999,54.086288,20308000
2018-09-21,55.750000,55.810001,54.919998,54.990002,53.541042,36158500
2018-09-24,54.799999,55.160000,54.240002,54.259998,52.830276,19604700
2018-09-25,54.299999,54.689999,54.200001,54.230000,52.801071,15207400
2018-09-26,54.380001,54.450001,53.020000,53.160000,51.759262,22025100
2018-09-27,53.279999,53.599998,52.759998,52.820000,51.428223,19991000
2018-09-28,52.689999,52.980000,52.410000,52.560001,51.175072,18588600
2018-10-01,52.740002,52.799999,52.160000,52.250000,50.873238,17209000
2018-10-02,52.240002,52.349998,51.880001,52.130001,50.756401,17509600
2018-10-03,52.500000,52.919998,52.330002,52.650002,51.262703,18444900
2018-10-04,52.730000,53.860001,52.730000,53.509998,52.100040,21417500
2018-10-05,53.700001,53.860001,52.980000,53.189999,51.788471,14793000
2018-10-08,52.980000,53.959999,52.980000,53.669998,52.255821,12858200
2018-10-09,53.380001,53.970001,52.980000,53.529999,52.119514,15918300
2018-10-10,53.700001,54.070000,52.410000,52.430000,51.048496,21875900
2018-10-11,52.380001,52.840000,51.009998,51.439999,50.084579,33147900
2018-10-12,52.099998,53.330002,50.869999,52.110001,50.736931,32067300
2018-10-15,52.509998,53.990002,52.509998,53.240002,51.837154,34118900
2018-10-16,53.310001,53.790001,52.529999,53.730000,52.314243,28227200
2018-10-17,53.560001,55.009998,53.189999,54.459999,53.025005,23524200
2018-10-18,54.169998,54.400002,52.759998,53.099998,51.700844,22533300
2018-10-19,53.080002,53.630001,52.860001,52.889999,51.496376,19521000
2018-10-22,53.070000,53.169998,51.560001,51.650002,50.289051,17621500
2018-10-23,50.840000,51.950001,50.470001,51.560001,50.201424,25529800
2018-10-24,51.310001,51.490002,50.020000,50.189999,48.867523,31161500
2018-10-25,50.529999,52.610001,50.419998,51.860001,50.493519,29366100
2018-10-26,51.320000,51.930000,50.790001,51.250000,49.899590,30053800
2018-10-29,51.880001,53.150002,51.590000,52.230000,50.853767,30541300
2018-10-30,52.450001,52.910000,51.869999,52.689999,51.301643,24910900
2018-10-31,53.040001,54.029999,53.029999,53.230000,51.827419,23667400
2018-11-01,53.430000,53.959999,53.150002,53.560001,52.148724,17654800
2018-11-02,54.209999,54.630001,53.110001,53.610001,52.197403,18285600
2018-11-05,53.730000,54.299999,51.160000,53.660000,52.246086,18990000
2018-11-06,53.360001,53.709999,52.959999,53.549999,52.138981,20696800
2018-11-07,53.820000,54.180000,52.790001,53.580002,52.168198,20668500
2018-11-08,52.900002,53.599998,52.860001,53.160000,52.178013,22429200
2018-11-09,53.090000,53.389999,52.730000,53.040001,52.060226,18972200
2018-11-12,53.130001,53.580002,52.279999,52.349998,51.382973,19003300
2018-11-13,52.619999,53.330002,52.619999,52.740002,51.765770,28102000
2018-11-14,53.139999,53.290001,51.490002,52.150002,51.186668,24788400
2018-11-15,51.540001,52.910000,51.279999,52.820000,51.844296,23220100
2018-11-16,52.650002,53.180000,52.480000,52.939999,51.962074,18872500
2018-11-19,52.970001,53.480000,52.599998,53.320000,52.335056,20215500
2018-11-20,53.049999,53.240002,52.360001,52.540001,51.569466,22999200
2018-11-21,52.619999,53.200001,52.270000,52.430000,51.461494,16946300
2018-11-23,51.970001,52.290001,51.610001,51.830002,50.872581,11139400
2018-11-26,52.330002,53.180000,52.330002,52.880001,51.903187,20581700
2018-11-27,52.689999,53.320000,52.450001,53.189999,52.207458,18044600
2018-11-28,53.150002,54.360001,52.580002,54.349998,53.346027,23713300
